state,county,name,totpop,totpopc,urb800,urb25,wm09,wm1015,wm1625,wm2644,wm45,wf09,wf1015,wf1625,wf2644,wf45,ofptot,stot,totpop2,region1,region2,level,fips,statefip,wmtot,wftot,whtot,nwtot
1,10,"FAIRFIELD",38208,38208,0,0,5929,2863,3150,3663,2837,5442,2713,3464,3929,2985,957,276,38208,1,1,1,9001,9,18442,18533,36975,1233
1,30,"HARTFORD",42147,42147,3523,0,6412,3421,3779,4042,3047,5999,3139,4004,4179,3315,743,67,42147,1,1,1,9003,9,20701,20636,41337,810
1,50,"LITCHFIELD",41214,41214,0,0,6667,3203,3560,4029,2950,6238,2982,3822,4170,2890,656,47,41214,1,1,1,9005,9,20409,20102,40511,703
1,70,"MIDDLESEX",19847,19847,0,0,2847,1575,1628,1762,1681,2710,1593,1875,2044,1809,251,72,19847,1,1,1,9007,9,9493,10031,19524,323
1,90,"NEW HAVEN",32162,32162,4049,0,4642,2370,2866,3047,2435,4509,2372,3078,3214,2743,650,236,32162,1,1,1,9009,9,15360,15916,31276,886
1,110,"NEW LONDON",34883,34883,5150,0,5304,2554,2893,2995,2488,5087,2359,3247,3475,3036,1236,209,34883,1,1,1,9011,9,16234,17204,33438,1445
1,130,"TOLLAND",14319,14319,0,0,2255,1139,1181,1225,1158,2080,1108,1335,1371,1255,203,9,14319,1,1,1,9013,9,6958,7149,14107,212
1,150,"WINDHAM",28222,28222,0,0,3890,2283,2626,2417,2380,3671,1952,2736,2804,2794,634,35,28222,1,1,1,9015,9,13596,13957,27553,669
1,0,"CONNECTICUT",251002,251002,12722,0,37946,19408,21683,23180,18976,35736,18218,23561,25186,20827,5330,951,251002,1,1,2,9000,9,121193,123528,244721,6281
2,50,"CUMBERLAND",38208,38208,3704,0,6817,3104,3159,3987,2057,6622,2978,3073,4030,2091,290,0,38208,1,1,1,23005,23,19124,18794,37918,290
2,90,"HANCOCK",16358,16358,0,0,3204,1296,1402,1821,864,2921,1159,1415,1513,721,42,0,16358,1,1,1,23009,23,8587,7729,16316,42
2,110,"KENNEBEC",24571,24571,0,0,4869,1833,2031,2744,1095,4675,1806,1921,2506,922,169,0,24571,1,1,1,23011,23,12572,11830,24402,169
2,150,"LINCOLN",30225,30225,0,0,5684,2501,2667,3017,1676,5403,2277,2550,2782,1543,125,0,30225,1,1,1,23015,23,15545,14555,30100,125
2,290,"WASHINGTON",4461,4461,0,0,892,333,349,492,245,833,327,390,388,187,25,0,4461,1,1,1,23029,23,2311,2125,4436,25
2,310,"YORK",37896,37896,0,0,6504,3238,3292,3257,2402,6445,2791,3946,3277,2577,167,0,37896,1,1,1,23031,23,18693,19036,37729,167
2,0,"MAINE",151719,151719,3704,0,27970,12305,12900,15318,8339,26899,11338,13295,14496,8041,818,0,151719,1,1,2,23000,23,76832,74069,150901,818
3,10,"BARNSTABLE",19293,19293,0,0,3088,1455,1789,1675,1406,2840,1320,1878,1925,1654,263,0,19293,1,1,1,25001,25,9413,9617,19030,263
3,30,"BERKSHIRE",33885,33885,0,0,5671,2753,3120,3163,2187,5315,2672,3126,3259,2125,494,0,33885,1,1,1,25003,25,16894,16497,33391,494
3,50,"BRISTOL",33880,33880,4361,0,4991,2770,2721,2839,2624,4907,2708,3105,3279,3128,808,0,33880,1,1,1,25005,25,15945,17127,33072,808
3,70,"DUKES",3118,3118,0,0,398,206,259,249,274,377,219,326,308,291,202,0,3109,1,1,1,25007,25,1386,1521,2907,202
3,90,"ESSEX",61196,61196,25927,0,8662,4594,5565,5816,4169,8189,4348,6198,7006,5747,911,0,61205,1,1,1,25009,25,28806,31488,60294,911
3,150,"HAMPSHIRE",72432,72432,0,0,12017,5984,6316,6726,5143,11630,5505,6450,6981,5115,565,0,72432,1,1,1,25015,25,36186,35681,71867,565
3,170,"MIDDLESEX",46928,46928,0,0,6917,3551,4325,4393,3853,6653,3406,4445,4627,4288,470,0,46928,1,1,1,25017,25,23039,23419,46458,470
3,190,"NANTUCKET",5617,5617,5617,0,748,373,561,535,400,708,344,543,703,474,228,0,5617,1,1,1,25019,25,2617,2772,5389,228
3,210,"NORFOLK",27216,27216,0,0,3911,1960,2629,2695,2239,3649,1825,2550,2919,2513,326,0,27216,1,1,1,25021,25,13434,13456,26890,326
3,230,"PLYMOUTH",30073,30073,4458,0,4386,2308,2292,2715,2514,4314,2153,2743,3245,2946,457,0,30473,1,1,1,25023,25,14215,15401,29616,457
