state,county,name,totpop,urb850,urb25,wm0,wm14,wm59,wm1014,wm1519,wm2029,wm3039,wm4049,wm5059,wm6069,wm7079,wm8089,wm9099,wm100,wmunk,wmtot,wf0,wf14,wf59,wf1014,wf1519,wf2029,wf3039,wf4049,wf5059,wf6069,wf7079,wf8089,wf9099,wf100,wfunk,wftot,wtot,fcm0,fcm14,fcm59,fcm1014,fcm1519,fcm2029,fcm3039,fcm4049,fcm5059,fcm6069,fcm7079,fcm8089,fcm9099,fcm100,fcmunk,fcmtot,fcf0,fcf14,fcf59,fcf1014,fcf1519,fcf2029,fcf3039,fcf4049,fcf5059,fcf6069,fcf7079,fcf8089,fcf9099,fcf100,fcfunk,fcftot,fctot,sm0,sm14,sm59,sm1014,sm1519,sm2029,sm3039,sm4049,sm5059,sm6069,sm7079,sm8089,sm9099,sm100,smunk,smtot,sf0,sf14,sf59,sf1014,sf1519,sf2029,sf3039,sf4049,sf5059,sf6069,sf7079,sf8089,sf9099,sf100,sfunk,sftot,stot,wfcbirth,sbirth,births,wmarried,tmarried,wfcdeath,sdeath,deaths,dwell,families,colleges,cteacher,cpupil,collye,collyt,collypf,collyos,colly,pubsch,psteach,pspupil,psye,psyt,psypf,psyos,psy,acoth,acteach,acpupil,acye,acyt,acypf,acyos,acy,wmsch,wfsch,wtotsch,fcmsch,fcfsch,fctotsch,nbsch,fbsch,totsch,wmillit,wfillit,wtillit,fcmillit,fcfillit,fctillit,nbillit,fbillit,totillit,acimp,acunimp,farmval,equipval,livstock,slaugval,orchard,garden,homemfg,publib,publvols,schlib,schvols,sunlib,sunvols,colllib,collvols,chlib,chvols,library,libvols,otusborn,foreign,educy,wpop519,farms,mfgcap,mfglabor,mfgout,baptist,baptacc,baptval,christia,chrisacc,chrisval,congrega,congracc,congrval,orthodox,orthoacc,orthoval,dutchref,dutchacc,dutchval,episcopa,episcacc,episcval,freechur,freeacc,freeval,quaker,quakacc,quakval,germref,germracc,germrval,jewish,jewisacc,jewisval,lutheran,luthacc,luthval,mennonit,mennacc,mennval,methodis,methacc,methval,moravian,moravacc,moravval,presbyte,presbacc,presbval,protesta,protacc,protval,rcatholi,rcathacc,rcathval,swedenbo,swedacc,swedval,tunker,tunkacc,tunkval,union,unionacc,unionval,unitaria,unitacc,unitval,universa,univsacc,univsval,sects,sectsacc,sectsval,churches,churacc,churval,water,rail,m0,m14,m59,m1014,m1519,m2029,m3039,m4049,m5059,m6069,m7079,m8089,m9099,m100,munk,mtot,f0,f14,f59,f1014,f1519,f2029,f3039,f4049,f5059,f6069,f7079,f8089,f9099,f100,funk,ftot,tot0,tot14,tot59,tot1014,tot1519,tot2029,tot3039,tot4049,tot5059,tot6069,tot7079,tot8089,tot9099,tot100,totunk,whtot,region1,region2,level,level2,fips
1,10,"FAIRFIELD",59775,6080,0,590,2574,3337,3330,2785,4853,3825,2908,2013,1131,619,206,14,0,0,28185,618,2590,3229,3105,3157,5655,3871,3081,2266,1432,798,295,35,0,2,30134,58319,11,62,77,76,58,129,98,87,55,32,12,5,0,1,0,703,10,73,86,70,77,150,96,96,47,28,13,4,2,1,0,753,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1229,,344,,,904,10817,12114,0,0,0,0,0,0,0,0,235,248,9051,402,7905,26890,3904,39101,58,71,1614,500,1365,0,45456,47321,6908,6165,13073,100,80,180,12989,264,13253,319,673,992,68,76,144,273,863,1136,206525,58367,13046150,206142,1108094,298327,12571,21018,984,1,900,0,0,1,650,0,0,0,0,2,1550,6561,5499,86422,18943,3155,2222785,7770,5667320,16,6000,34700,0,0,0,34,17000,211300,,,,,,,24,11050,125000,0,0,0,1,200,500,,,,0,0,0,,,,,,,43,14080,79400,,,,1,300,6500,,,,2,900,8000,,,,,,,0,0,0,2,650,7000,7,2250,12200,1,200,500,131,52630,485100,1,1,601,2636,3414,3406,2843,4982,3923,2995,2068,1163,631,211,14,1,0,28888,628,2663,3315,3175,3234,5805,3967,3177,2313,1460,811,299,37,1,2,30887,1229,5299,6729,6581,6077,10787,7890,6172,4381,2623,1442,510,51,2,2,58319,1,1,1,1,9001
1,30,"HARTFORD",69967,13555,0,659,2972,3528,3490,3455,7086,5041,3439,2165,1275,598,160,14,0,0,33882,677,2935,3538,3472,3824,6927,4803,3401,2488,1680,807,251,22,0,0,34825,68707,11,57,86,64,58,108,90,61,34,19,4,2,2,0,0,596,14,63,67,74,77,117,102,57,49,28,7,8,1,0,0,664,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1361,,689,,,1232,11318,13284,2,12,85,3060,0,0,3579,6639,254,288,15392,2246,2374,30362,14791,49773,30,51,1444,780,0,0,21505,22285,7964,7882,15846,143,120,263,15312,797,16109,441,572,1013,30,31,61,121,953,1074,280317,84845,13610277,394406,1251165,393276,58295,123535,25156,11,20554,1,4500,40,18995,2,19600,1,150,55,63799,7594,10072,78697,21307,3850,6126260,11716,10888780,15,7050,86100,0,0,0,45,25460,337800,,,,,,,10,5250,112500,0,0,0,1,400,5000,,,,2,,,,,,,,,31,9880,56400,,,,3,1400,15000,,,,3,3700,45500,,,,,,,0,0,0,2,800,32000,4,1900,23800,5,150,100,121,55990,714200,1,1,670,3029,3614,3554,3513,7194,5131,3500,2199,1294,602,162,16,0,0,34478,691,2998,3605,3546,3901,7044,4905,3458,2537,1708,814,259,23,0,0,35489,1361,6027,7219,7100,7414,14238,10036,6958,4736,3002,1416,421,39,0,0,68707,1,1,1,1,9003
1,50,"LITCHFIELD",45253,0,0,604,2013,2431,2460,2175,3997,2909,2274,1619,1071,526,170,13,1,7,22270,447,1905,2348,2263,2284,3955,2774,2245,1716,1151,623,211,25,0,5,21952,44222,18,60,71,67,51,109,56,50,31,19,12,7,0,0,0,551,13,52,53,51,42,87,64,38,40,25,10,4,1,0,0,480,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1082,,588,,,569,8721,9247,0,0,0,0,0,0,0,0,290,294,8828,0,1755,19091,3832,24678,23,32,611,0,0,0,11516,11516,5400,5017,10417,105,54,159,10392,184,10576,222,183,405,51,14,65,204,266,470,346697,119288,12441790,386689,1612926,389028,9438,644,18819,11,5330,0,0,15,5000,0,0,0,0,26,10330,4968,3244,36194,13961,3621,2434855,3475,4068228,7,1800,10500,0,0,0,34,13600,163417,,,,,,,22,7725,64200,0,0,0,2,300,1250,,,,0,0,0,,,,,,,27,7290,45150,,,,6,2900,29500,,,,0,0,0,,,,,,,3,600,3400,0,0,0,1,200,600,2,250,1400,104,34665,319417,1,1,622,2073,2502,2527,2226,4106,2965,2324,1650,1090,538,177,13,1,7,22821,460,1957,2401,2314,2326,4042,2838,2283,1756,1176,633,215,26,0,5,22432,1082,4030,4903,4841,4552,8148,5803,4607,3406,2266,1171,392,39,1,12,44222,1,1,1,1,9005
1,70,"MIDDLESEX",27216,4211,0,256,1223,1329,1437,1305,2631,1929,1274,910,576,303,118,11,1,19,13322,279,1090,1408,1428,1402,2535,1819,1315,1052,710,388,143,17,0,19,13605,26927,2,10,19,26,15,24,24,11,8,6,2,0,0,0,0,147,3,9,14,21,18,23,19,12,10,5,7,1,0,0,0,142,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,540,,110,,,473,4726,5324,1,8,113,1000,0,0,8000,9000,115,124,5916,443,4303,10385,1197,16328,11,18,612,600,0,25,6075,6700,2940,3039,5979,30,17,47,5716,310,6026,13,26,39,2,1,3,13,29,42,130494,32667,4594843,130115,484143,139875,6294,18046,54152,7,2800,0,0,0,0,1,12000,0,0,8,14800,782,2995,32028,8309,2018,1406950,2646,2109560,10,3600,53900,0,0,0,24,12550,216448,,,,,,,8,3600,43725,0,0,0,0,0,0,,,,0,0,0,,,,,,,18,5450,47200,,,,2,1000,9000,,,,1,600,6000,,,,,,,0,0,0,0,0,0,1,700,8000,1,300,800,65,27800,385073,1,1,258,1233,1348,1463,1320,2655,1953,1285,918,582,305,118,11,1,19,13469,282,1099,1422,1449,1420,2558,1838,1327,1062,715,395,144,17,0,19,13747,540,2332,2770,2912,2740,5213,3791,2612,1980,1297,700,262,28,1,38,26927,1,1,1,1,9007
1,90,"NEW HAVEN",65588,20345,0,675,2983,3301,3188,3437,6812,4708,3120,1847,1098,545,140,11,1,15,31881,635,2975,3147,3193,3500,6624,4491,3090,2100,1450,792,250,24,0,7,32278,64159,8,57,74,69,65,130,108,75,50,23,8,2,1,0,1,671,11,45,71,76,84,162,118,87,53,27,17,4,1,1,1,758,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1329,,549,,,991,10860,13167,1,36,540,20000,0,0,18000,38000,227,275,10781,1466,12965,24153,4078,42662,33,92,1042,30,200,0,38122,38352,6654,6468,13122,123,112,235,12997,360,13357,424,440,864,69,68,137,167,834,1001,206325,75378,10116890,296772,931401,344495,43483,20364,73439,8,6775,3,539,2,450,5,51000,1,75,19,58839,6577,9288,119014,19766,2794,5076331,9933,11283816,9,4800,63500,0,0,0,41,23600,324360,,,,,,,28,13625,304450,0,0,0,0,0,0,,,,0,0,0,,,,,,,19,7575,48900,,,,0,0,0,,,,4,2615,32500,,,,,,,1,1250,25000,0,0,0,1,800,16000,0,0,0,103,54265,814710,1,1,683,3040,3375,3257,3502,6942,4816,3195,1897,1121,553,142,12,1,16,32552,646,3020,3218,3269,3584,6786,4609,3177,2153,1477,809,254,25,1,8,33036,1329,6060,6593,6526,7086,13728,9425,6372,4050,2598,1362,396,37,2,24,64159,1,1,1,1,9009
1,110,"NEW LONDON",51821,15130,0,576,2250,2679,2614,2663,5418,3513,2361,1516,965,476,182,28,0,132,25373,529,2292,2674,2530,2606,4810,3194,2429,1838,1130,611,248,40,2,7,24940,50313,18,60,65,60,76,262,119,52,41,30,15,7,1,0,2,808,11,70,69,84,71,125,101,62,46,33,24,4,0,0,0,700,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1134,,577,,,903,8336,10079,0,0,0,0,0,0,0,0,237,246,10073,600,6693,22129,1531,30953,38,52,1215,1425,0,0,13490,14915,6086,5524,11610,109,124,233,11538,305,11843,389,581,970,48,67,115,342,743,1085,221997,103168,8350759,156226,807631,224553,6686,5632,1780,2,1250,0,0,0,0,0,0,0,0,2,1250,6709,4774,45868,15766,2619,2667900,5379,5624978,32,12176,104630,1,200,1000,29,13825,233340,,,,,,,5,2500,110000,1,325,800,0,0,0,,,,0,0,0,,,,,,,26,7100,38100,,,,3,1100,16300,,,,2,1200,5500,,,,,,,0,0,0,0,0,0,2,1300,19000,1,400,3200,102,40126,531870,1,1,594,2310,2744,2674,2739,5680,3632,2413,1557,995,491,189,29,0,134,26181,540,2362,2743,2614,2677,4935,3295,2491,1884,1163,635,252,40,2,7,25640,1134,4672,5487,5288,5416,10615,6927,4904,3441,2158,1126,441,69,2,141,50313,1,1,1,1,9011
1,130,"TOLLAND",20091,0,0,204,830,997,1140,1064,1793,1274,1012,705,535,249,71,9,0,4,9887,181,840,1028,989,1110,1772,1328,1023,770,592,302,102,14,0,8,10059,19946,2,11,5,7,7,11,10,10,2,6,4,0,0,0,0,75,2,7,11,3,7,11,10,4,6,4,4,1,0,0,0,70,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,389,,141,,,263,3741,4081,0,0,0,0,0,0,0,0,125,129,4381,20,2264,8941,417,11642,1,1,35,0,0,0,113,113,2544,2295,4839,16,14,30,4775,94,4869,81,69,150,9,5,14,63,101,164,163677,55478,3749351,145799,509590,144767,10036,1186,5200,0,0,0,0,14,3200,0,0,0,0,14,3200,2456,982,11755,6328,1943,1357225,2476,2697042,6,2150,17400,0,0,0,18,9000,84200,,,,,,,1,500,5000,0,0,0,0,0,0,,,,0,0,0,,,,,,,12,2900,16700,,,,2,800,12400,,,,0,0,0,,,,,,,0,0,0,0,0,0,2,625,5300,0,0,0,41,15975,141000,1,1,206,841,1002,1147,1071,1804,1284,1022,707,541,253,71,9,0,4,9962,183,847,1039,992,1117,1783,1338,1027,776,596,306,103,14,0,8,10129,389,1688,2041,2139,2188,3587,2622,2049,1483,1137,559,174,23,0,12,19946,1,1,1,1,9013
1,150,"WINDHAM",31081,0,0,287,1345,1690,1714,1643,2649,1879,1514,1070,757,382,127,9,1,17,15084,283,1281,1680,1554,1603,2772,1971,1606,1206,833,433,161,25,0,14,15422,30506,4,33,37,28,31,42,38,21,16,12,4,2,1,0,0,269,8,41,41,32,21,57,31,33,18,11,7,3,2,1,0,306,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,582,,215,,,446,5494,6152,0,0,0,0,0,0,0,0,173,183,6847,497,1217,12750,1619,16083,8,12,423,50,164,0,4551,4765,3961,3586,7547,63,54,117,7502,162,7664,148,158,306,15,13,28,110,224,334,212146,86510,6816362,176392,762540,267945,28315,6449,12722,2,1000,0,0,35,10150,0,0,1,400,38,11550,5929,1664,20848,9884,2445,2598042,4405,2770378,19,6858,35904,3,750,4200,27,12285,86320,,,,,,,3,900,9000,0,0,0,1,125,400,,,,0,0,0,,,,,,,9,3500,19700,,,,0,0,0,,,,0,0,0,,,,,,,0,0,0,1,300,3000,4,1130,5300,0,0,0,67,25848,163824,0,1,291,1378,1727,1742,1674,2691,1917,1535,1086,769,386,129,10,1,17,15353,291,1322,1721,1586,1624,2829,2002,1639,1224,844,440,164,27,1,14,15728,582,2700,3448,3328,3298,5520,3919,3174,2310,1613,826,293,37,2,31,30506,1,1,1,1,9015
1,0,"CONNECTICUT",370792,59321,0,3851,16190,19292,19373,18527,35239,25078,17902,11845,7408,3698,1174,109,4,194,179884,3649,15908,19052,18534,19486,35050,24251,18190,13436,8978,4754,1661,202,2,62,183215,363099,74,350,434,397,361,815,543,367,237,147,61,25,5,1,3,3820,72,360,412,411,397,732,541,389,269,161,89,29,7,3,1,3873,7693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7646,,3213,,,5781,64013,73448,4,56,738,24060,0,0,29579,53639,1656,1787,71269,5674,39476,154701,31369,231220,202,329,6996,3385,1729,25,140828,145967,42457,39976,82433,689,575,1264,81221,2476,83697,2037,2702,4739,292,275,567,1293,4013,5306,1768178,615701,72726422,1892541,7467490,2202266,175118,196874,192252,42,38609,4,5039,107,38445,8,82600,3,625,164,165318,41576,38518,430826,114264,22445,23890348,47770,45110102,114,44434,406634,4,950,5200,252,127320,1657185,,,,,,,101,45150,773875,1,325,800,5,1025,7150,,,,2,0,0,,,,,,,185,57775,351550,,,,17,7500,88700,,,,12,9015,97500,,,,,,,4,1850,28400,5,1750,42000,22,8905,90200,10,1300,6000,734,307299,3555194,,,3925,16540,19726,19770,18888,36054,25621,18269,12082,7555,3759,1199,114,5,197,183704,3721,16268,19464,18945,19883,35782,24792,18579,13705,9139,4843,1690,209,5,63,187088,7646,32808,39190,38715,38771,71836,50413,36848,25787,16694,8602,2889,323,10,260,363099,1,1,2,2,9000
2,30,"AROOSTOOK",12529,0,0,183,942,1033,803,692,1110,806,566,353,167,57,12,1,0,0,6725,210,905,982,782,655,937,581,381,211,96,42,14,2,0,0,5798,12523,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,393,,115,,,114,2042,2049,0,0,0,0,0,0,0,0,66,66,2021,0,1791,5999,504,8294,5,6,129,250,120,0,599,969,1144,1079,2223,0,0,0,1844,379,2223,440,335,775,1,2,3,302,476,778,55097,140523,814526,46817,248763,55840,981,7736,21734,0,0,1,125,4,540,0,0,0,0,5,665,376,4075,9263,4947,1228,282650,849,430895,3,600,1600,1,,,2,700,1200,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,,,,0,0,0,,,,4,3600,8000,0,0,0,,,,0,0,0,1,700,1200,1,,,0,0,0,12,5600,12000,0,0,183,942,1033,803,692,1111,808,566,353,167,57,12,1,0,0,6728,210,907,982,782,655,938,581,381,211,96,42,14,2,0,0,5801,393,1849,2015,1585,1347,2049,1389,947,564,263,99,26,3,0,0,12523,1,1,1,1,23003
