county,tax,pop,tax.pc
Baldwin,22870,10618,2.153889621
Bryan,2141,4015,0.5332503113
Bulloch,3000,5668,0.5292872265
Burke,18000,17165,1.0486455
Camden,500,5420,0.09225092251
Chatham,52880,31043,1.70344361
Clarke,13500,12941,1.043196044
Columbia,732,11860,0.06172006745
Effingham,1101,4755,0.2315457413
Elbert,4030,10433,0.3862743219
Franklin,4000,7893,0.5067781579
Glynn,9528,5376,1.772321429
Greene,5200,12454,0.4175365344
Hancock,6173,11317,0.5454625784
Jackson,1470,11181,0.1314730346
Jefferson,7348,12190,0.6027891715
Liberty,2074,7688,0.2697710718
Lincoln,2144,5413,0.3960835027
Mcintosh,3795,4491,0.8450233801
Montgomery,1162,3586,0.3240379253
Oglethorpe,8469,11782,0.7188083517
Richmond,54928,25724,2.135282227
Screven,3200,9175,0.348773842
Tattnall,1250,4860,0.2572016461
Warren,2300,10545,0.2181128497
Washington,17056,15842,1.076631738
Wilkes,3750,11796,0.3179043744
Wilkinson,11725,9383,1.249600341
Wayne,486,2177,0.2232429949
Georgia,1164304,1184109,0.9832743438
